Number,Al,Co,Ni
257,79.67204907,5.169608211,15.15834272
258,84.64577657,5.340599455,10.01362398
259,89.85197619,5.753090188,4.394933618
260,92.24049332,6.217882837,1.541623844
261,4.117266652,4.559172235,91.32356111
262,6.247339293,3.905917412,89.8467433
263,10.22451776,3.689258986,86.08622325
264,15.45980032,3.23699422,81.30320547
265,20.85392786,3.102324114,76.04374803
266,27.11597098,2.733676795,70.15035222
267,32.6280507,2.461506232,64.91044307
268,38.77615393,2.239512144,58.98433393
269,44.31118658,2.18637232,53.5024411
270,49.7112917,1.914029085,48.37467921
271,55.2815764,1.765909336,42.95251427
272,60.53522665,1.671217914,37.79355543
273,65.47579299,1.491374513,33.0328325
274,70.37928269,1.466712501,28.15400481
275,75.12817456,1.478478598,23.39334685
276,79.74747475,1.439393939,18.81313131
277,84.44108761,1.524306509,14.03460588
278,89.69943644,1.80025047,8.500313087
279,94.22929448,2.281441718,3.489263804
280,9.283107963,1.266366173,89.45052586
281,13.10520182,0.932302151,85.96249603
282,18.02606685,1.019550137,80.95438301
283,23.57757716,0.829309259,75.59311358
284,28.69180535,0.737307773,70.57088688
285,34.02159103,0.628864899,65.34954407
286,39.47368421,0.618578318,59.90773747
287,44.84177215,0.5907173,54.56751055
288,49.68667021,0.541688794,49.771641
289,55.41729243,0.472001716,44.11070586
290,60.09969658,0.444299957,39.45600347
291,64.81973015,0.464499005,34.71577085
292,69.26206351,0.440727766,30.29720872
293,73.55352542,0.445069103,26.00140548
294,77.78873413,0.640946629,21.57031924
295,82.16100562,0.655255416,17.18373897
296,86.31660232,0.849420849,12.83397683
297,16.34808322,0.549160418,83.10275636
298,20.45024195,0.525983589,79.02377446
299,25.27426601,0.240309268,74.48542472
300,30.05521408,0.302114804,69.64267111
301,35.05615641,0.259983361,64.68386023
302,40.27139875,0.208768267,59.51983299
303,44.84455145,0.240762064,54.91468649
304,49.52360788,0.169383866,50.30700826
305,54.64005097,0.212359312,45.14758972
306,59.03201628,0.246279045,40.72170468
307,63.51926646,0.240148455,36.24058509
308,67.97066015,0.211158035,31.81818182
309,71.7458856,0.253193693,28.0009207
310,75.54885404,0.25331725,24.19782871
311,79.18410042,0.3791841,20.43671548
312,22.97283122,0.262246932,76.76492185
313,27.19958203,0.094043887,72.70637409
314,31.25064976,0.166337457,68.58301279
315,35.83238016,0.187168556,63.98045128
316,40.30612245,0.156184923,59.53769263
317,44.63353518,0.093965337,55.27249948
318,49.19600631,0.189174987,50.61481871
319,53.70311675,0.116217644,46.18066561
320,57.86829164,0.11759675,42.01411161
321,62.04165763,0.108483402,37.84985897
322,65.84448623,0.221214467,33.9342993
323,69.59183673,0.204081633,30.20408163
324,72.91317867,0.23917723,26.8476441
325,29.23539786,0.155617803,70.60898433
326,32.30514439,0.227719698,67.46713591
327,36.57676349,0.093360996,63.32987552
328,40.79850281,0.062383032,59.13911416
329,44.58446157,0.052072485,55.36346594
330,48.57112949,0.146550822,51.28231969
331,52.58429342,0.095127365,47.32057922
332,56.83147262,0.063795853,43.10473153
333,60.81400344,0.150343643,39.03565292
334,64.23085363,0.120693439,35.64845293
335,67.32483358,0.135394336,32.53977209
336,37.64596466,0.072336468,62.28169887
337,41.1509901,0.061881188,58.78712871
338,44.70305814,0.073061267,55.2238806
339,48.35498743,0.010477787,51.63453479
340,51.94067529,0.105185653,47.95413906
341,55.94620354,0.084718839,43.96907762
342,59.29572942,0.0107032,40.69356738
